X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
387,0,43,0,0,0,630,1135,200,3.29,0,51.039
365.5,0,64.5,0,0,0,630,1135,200,3.11,0,50.982
344,0,86,0,0,0,630,1135,200,2.75,0,50.37
322.5,0,107.5,0,0,0,630,1135,200,2.58,0,43.984
301,0,129,0,0,0,630,1135,200,2.26,0,44.003
279.5,0,150.5,0,0,0,630,1135,200,2.1,0,44.344
258,0,172,0,0,0,630,1135,200,1.68,0,43.184
350,175,0,0,0,0,500,1050,126,11.7,0,61.3
350,175,0,0,0,0,500,1050,143.5,8.9,0,60.1
350,175,0,0,0,0,500,1050,161,6.9,0,58.7
350,175,0,0,0,0,500,1050,178.5,3.8,0,49.5
350,175,0,0,0,0,500,1050,196,3.2,0,43
333,175,0,0,17,0,500,1050,158,7.3,0,52.9
326,175,0,0,24,0,500,1050,158,5.1,0,54.3
319,175,0,0,31,0,500,1050,158,5.2,0,58.4
313,175,0,0,37,0,500,1050,158,6.8,0,63.3
307,175,0,0,43,0,500,1050,158,6.1,0,59.1
301,175,0,0,49,0,500,1050,158,8.8,0,65.5
500,0,0,0,0,25,750,875,200,17.5,0,38
500,0,0,0,0,25,750,875,200,20,0,37.8
500,0,0,0,0,25,750,875,200,22.5,0,22.2
500,0,0,0,0,50,750,875,200,17.5,0,36.2
500,0,0,0,0,50,750,875,200,20,0,41.4
500,0,0,0,0,50,750,875,200,22.5,0,48.5
360,0,90,0,0,0,855,813,198,3.2,0,68
270,0,180,0,0,0,842,801,198,2.9,0,60.3
180,0,270,0,0,0,829,788,198,3,0,42.5
360,0,0,90,0,0,866,824,198,3.7,0,72.6
270,0,0,180,0,0,863,821,198,3.4,0,74.9
180,0,0,270,0,0,861,819,198,2.8,0,65.7
428,0,0,0,22.5,0,865,823,198,4.9,0,71.2
405,0,0,0,45,0,861,819,198,5.2,0,76.1
383,0,0,0,67.5,0,858,816,198,7.8,0,74.8
360,0,67.5,0,22.5,0,855,813,198,4.2,0,67.2
270,0,135,0,45,0,841,801,198,4.5,0,57.6
180,0,202.5,0,67.5,0,828,788,198,4.8,0,44.9
360,0,0,67.5,22.5,0,863,821,198,4,0,68
270,0,0,135,45,0,857,816,198,4.6,0,68.2
180,0,0,202.5,67.5,0,852,810,198,5.8,0,70.7
360,0,45,45,0,0,861,819,198,3.2,0,78
270,0,90,90,0,0,853,811,198,3.2,0,69.2
180,0,135,135,0,0,845,803,198,2.8,0,60.6
360,0,33.8,33.8,22.5,0,859,817,198,4.2,0,76
270,0,67.5,67.5,45,0,849,808,198,4.2,0,66.8
180,0,101.3,101.3,67.5,0,840,799,198,5,0,55.2
400,0,0,0,0,100,700,850,250,14,0,42.9
350,0,0,0,0,150,700,850,250,12.25,0,40.9
300,0,0,0,0,200,700,850,250,10.5,0,33.5
465,0,85,0,0,0,590,910,227.7,10.73,0,35.19
440,0,110,0,0,0,590,910,228.6,11.01,0,33.15
415,0,135,0,0,0,590,910,233.3,9.91,0,31.47
385,0,165,0,0,0,590,910,234.4,9.91,0,30.66
355,0,195,0,0,0,590,910,241.6,9.91,0,29.62
300,125,0,0,0,0,733.6,1072.7,180,5.7,0,40.4
350,45,0,0,0,0,684.3,1080.1,210,5.25,1.23,36.9
350,90,0,0,0,0,726.4,996.5,210,5.08,0,38.7
440,0,82.5,0,27.5,0,916,713,176,8.22,0,79.2
330,0,165,0,55,0,898,699,176,9.11,0,67.2
220,0,247.5,0,82.5,0,880,685,176,8.89,0,59.9
440,0,0,82.5,27.5,0,927,721,176,9.78,0,79.6
330,0,0,165,55,0,920,716,176,10.78,0,87.5
220,0,0,247.5,82.5,0,912,710,176,10.22,0,84.5
440,0,55,55,0,0,924,720,176,8,0,76.9
330,0,110,110,0,0,913,711,176,7.5,0,62.2
220,0,165,165,0,0,903,703,176,4.44,0,69.3
440,0,41.3,41.3,27.5,0,922,717,176,6.4,0,78.6
330,0,82.5,82.5,55,0,909,707,176,6.48,0,72.7
220,0,123.8,123.8,82.5,0,896,697,176,8,0,64.3
374,107,0,0,0,53,968,790,182,2.25,0,93
366,0,104,0,0,52,968,790,178,1.25,0,97
336,0,104,0,0,78,968,790,176,1.5,0,101
308,0,103,0,0,103,968,790,175,1.65,0,103
397,113,0,0,0,57,968,790,168,3,0,99
388,0,111,0,0,55,968,790,170,1.5,0,109
413,0,108,0,0,59,968,790,155,2,0,122
413,0,108,0,59,0,968,790,155,2,0,118
413,0,108,0,59,0,968,790,155,1.75,0,119
460,0,0,0,0,0,1085.2,693.81,161,1.1,0,68
368,0,92,0,0,0,1085.2,693.81,161,0.88,0,66
322,0,138,0,0,0,1085.2,693.81,161,0.77,0,58
276,0,184,0,0,0,1085.2,693.81,161,0.66,0,56
368,0,0,92,0,0,1085.2,693.81,161,0.88,0,66
322,0,0,138,0,0,1085.2,693.81,161,0.77,0,61.5
276,0,0,184,0,0,1085.2,693.81,161,0.66,0,58
319,0,0,0,0,0,1600,368,185,0,0,44.2
110,0,440,0,0,0,821,698,246,1.1,0.25,48.3
500,0,0,0,0,0,1467,337,185,0,0,74.5
220,0,330,0,0,0,937,796,172,2.64,0.15,73.5
552,0,0,0,0,0,1486,342,160,5.52,0,91.3
330,0,220,0,0,0,981,835,144,4.95,0.2,92.6
600,0,0,0,0,0,1462,336,155,7.2,0,92.3
440,0,110,0,0,0,989,841,142,6.6,0.2,94.6
412.5,0,137.5,0,0,0,520.1,612.7,203.5,0,0,44
401.5,0,137.5,0,11,0,518.6,610.9,203.5,0,0,50
385,0,137.5,0,27.5,0,516.8,608.8,203.5,0,0,52
412.5,0,137.5,0,0,0,523.1,612.7,203.5,0,0,54
401.5,0,137.5,0,11,0,521.6,610.9,203.5,0,0,62
385,0,137.5,0,27.5,0,519.8,608.8,203.5,0,0,65
337.5,0,112.5,0,0,0,531.9,626.5,225,0,0,30
328.5,0,112.5,0,9,0,530.6,625.1,225,0,0,32
315,0,112.5,0,22.5,0,529.2,623.4,225,0,0,33
337.5,0,112.5,0,0,0,534.9,626.1,225,0,0,34
328.5,0,112.5,0,9,0,533.7,625.1,225,0,0,40
315,0,112.5,0,22.5,0,532.2,623.4,225,0,0,46
