X1,X2,X3,X4,X5,X6,X7,Y
440,231,110,612,909,3.81,28,23.27
349,291.27,162,852,779,0.14,28,59.9
237,159.1,133,900,960,0.5,28,46
325,190,175,735,910,1.35,3,22.36
380,200,192,621,931,0.43,7,45.7
170,159.1,200,900,928,0.5,1,5
350,235.11,111,900,831,0.15,28,61
180,198,270,829,778,0.67,90,42.5
225,180,225,818,818,0.35,7,26.2
210,201.5,100,837,910,0.8,7,11.1
350,178,186,851,786,0.45,7,51.1
276,161,184,1058.2,693.81,0.24,90,71.66
218,178,373,700,743,0.51,28,35.3
260,227.9,170,837,717,0.7,90,38.2
170,159.1,200,900,928,0.5,28,33
218,178,373,700,743,0.51,90,48.9
180,166.5,270,850,850,0.21,7,14.7
322,161,138,1058.2,693.81,0.24,3,32.77
163,163.2,245,851,851,0.2,7,14.7
200,160,200,843,842,0.17,28,34.9
210,279.5,220,837,562,0.2,7,6.2
163,163.2,245,851,851,0.2,28,26.2
100,180,80,876,751,0.7,7,5.77
465,225.5,85,590,910,1.95,90,59.04
135,180,315,805,805,0.26,90,39.88
300,180,40,876,813,0.7,7,43.5
350,190,150,735,910,1.35,3,24.11
385,231,165,612,909,3.81,28,30.01
412.5,231,137.5,612,909,3.81,28,25.12
503,183,158,700,735,0.76,7,58.8
350,214,170,792,774,0.81,365,74.1
280,258.5,190,837,599,0.7,90,36.5
250,225.5,160,837,742,0.5,90,40.96
183,188.65,160,837,891,0.5,28,22.1
285.5,188.1,285,788.7,788.7,0.4,28,58.75
465,225.5,85,590,910,1.95,365,61.4
385,236.5,165,590,910,1.8,90,42.07
207,186.3,207,843,845,0.4,1,6.1
300,200,200,860,845,1.8,28,26.1
225,170,247,924,743,0.68,28,37.2
169,190.35,254,853,853,0,7,15.6
386,193,72,1190,523,0.42,28,35.3
220,156,180,900,916,0.35,28,49
280,156,120,900,946,0.35,28,45
386,193,161,1190,434,0.35,7,31.3
386,193,161,1190,434,0.35,56,51.2
218,178,373,700,743,0.51,7,21.6
337.5,189,112.5,612,1109,4.6,7,19.66
238,158.8,159,844,844,0.29,28,37.8
